feature_ID	dataset	name_in_figures	lipid_class	chain_length	double_bond	sn_position	refmet_super_class	refmet_main_class	refmet_sub_class
C14 carnitine	metab-u-hilicpos	CAR 14:0	Car	14	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C14:1 carnitine	metab-u-hilicpos	CAR 14:1	Car	14	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C14:2 carnitine	metab-u-hilicpos	CAR 14:2	Car	14	2	NA	Fatty Acyls	Fatty esters	Acyl carnitines
Car(16:0)_feature1	metab-u-lrppos	CAR 16:0	Car	16	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
Car(18:0)_feature1	metab-u-lrppos	CAR 18:0	Car	18	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C18:1 carnitine	metab-u-hilicpos	CAR 18:1	Car	18	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C18:2 carnitine	metab-u-hilicpos	CAR 18:2	Car	18	2	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C2 carnitine	metab-u-hilicpos	CAR 2:0	Car	2	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C20 carnitine	metab-u-hilicpos	CAR 20:0	Car	20	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
Car(20:4)_feature1	metab-u-lrppos	CAR 20:4	Car	20	4	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C3 carnitine	metab-u-hilicpos	CAR 3:0	Car	3	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C4-OH carnitine	metab-u-hilicpos	CAR 4:0;OH	Car	4	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C4 carnitine	metab-u-hilicpos	CAR 4:0	Car	4	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C5 carnitine	metab-u-hilicpos	CAR 5:0	Car	5	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C5:1 carnitine	metab-u-hilicpos	CAR 5:1	Car	5	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C6 carnitine	metab-u-hilicpos	CAR 6:0	Car	6	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
C8 carnitine	metab-u-hilicpos	CAR 8:0	Car	8	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines
carnitine	metab-u-hilicpos	Carnitine	NA	NA	NA	NA	Organic nitrogen compounds	Carnitines	Carnitines
Carnosine	metab-t-amines	Carnosine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Hybrid peptides
Cer(d34:1)>Cer(d18:1/16:0)_feature1	metab-u-lrppos	Cer 18:1;O2/16:0	Cer	34	1	Cer 18:1;O2/16:0	Sphingolipids	Ceramides	Cer
choline	metab-u-hilicpos	Choline	NA	NA	NA	NA	Organic nitrogen compounds	Cholines	Cholines
cis-aconitate	metab-t-tca	cis-Aconitic acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
Citrate	metab-t-tca	Citric acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
Citrulline	metab-t-amines	Citrulline	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
CMP	metab-t-nuc	CMP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNMP
creatine	metab-u-hilicpos	Creatine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
cytidine	metab-u-hilicpos	Cytidine	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides
deoxycholate	metab-u-rpneg	Deoxycholic acid	NA	NA	NA	NA	Sterol Lipids	Bile acids	C24 bile acids
C34:1 DAG	metab-u-hilicpos	DG 34:1	DG	34	1	NA	Glycerolipids	Diradylglycerols	DAG
FA(20:4)	metab-u-rpneg	Eicosatetraenoic acid	Unsaturated FA	20	4	NA	Fatty Acyls	Fatty acids	Unsaturated FA
Fumarate	metab-t-tca	Fumaric acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
gamma-Amino-N-butyric-acid	metab-t-amines	gamma-Aminobutyric acid	Amino FA	NA	NA	NA	Fatty Acyls	Fatty acids	Amino FA
gamma-glutamylisoleucine	metab-u-rppos	gamma-Glutamylisoleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Dipeptides
gamma-glutamylleucine	metab-u-rppos	gamma-Glutamylleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Dipeptides
GDP	metab-t-nuc	GDP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNDP
glucose	metab-u-rppos	Glucose	NA	NA	NA	NA	Carbohydrates	Monosaccharides	Monosaccharides
Glutamic Acid	metab-t-amines	Glutamic acid	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Glutamine	metab-t-amines	Glutamine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
glutathione reduced	metab-u-hilicpos	Glutathione	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Peptides
Glycine	metab-t-amines	Glycine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
glycocholate	metab-u-hilicpos	Glycocholic acid	NA	NA	NA	NA	Sterol Lipids	Bile acids	C24 bile acids
GMP	metab-t-nuc	GMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP
guanine	metab-t-nuc	Guanine	NA	NA	NA	NA	Nucleic acids	Purines	Hypoxanthines
guanosine	metab-t-nuc	Guanosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides
hippurate	metab-u-rpneg	Hippuric acid	NA	NA	NA	NA	Benzenoids	Benzamides	Hippuric acids
Histidine	metab-t-amines	Histidine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Hydroxyproline	metab-t-amines	Hydroxyproline	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
hypoxanthine	metab-t-nuc	Hypoxanthine	NA	NA	NA	NA	Nucleic acids	Purines	Hypoxanthines
IMP	metab-t-nuc	IMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP
inosine	metab-u-hilicpos	Inosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides
Isoleucine	metab-t-amines	Isoleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
ketoleucine	metab-t-ka	Ketoleucine	NA	NA	NA	NA	Organic acids	Keto acids	Short-chain keto acids
kynurenate	metab-u-hilicpos	Kynurenic acid	NA	NA	NA	NA	Organoheterocyclic compounds	Quinolines	Quinoline carboxylic acids
Lactate	metab-t-tca	Lactic acid	NA	NA	NA	NA	Organic acids	Short-chain acids	Short-chain acids
Leucine	metab-t-amines	Leucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
leucine+ isoleucine	metab-u-rppos	Leucine/Isoleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
LPC(14:0)	metab-u-rppos	LPC 14:0	LPC	14	0	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	metab-u-lrppos	LPC 16:0	LPC	16	0	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(16:1)_a_b	metab-u-rppos	LPC 16:1	LPC	16	1	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:3)_a_b	metab-u-rppos	LPC 20:3	LPC	20	3	NA	Glycerophospholipids	Glycerophosphocholines	LPC
Malate	metab-t-tca	Malic acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
Methionine	metab-t-amines	Methionine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
N-acetylleucine	metab-u-hilicpos	N-Acetylleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
NAD+	metab-t-nuc	NAD+	NA	NA	NA	NA	Nucleic acids	Nicotinamides	Nicotinamide dinucleotides
NADH	metab-t-nuc	NADH	NA	NA	NA	NA	Nucleic acids	Nicotinamides	Nicotinamide dinucleotides
NADP+	metab-t-nuc	NADP+	NA	NA	NA	NA	Nucleic acids	Nicotinamides	Nicotinamide dinucleotides
NADPH	metab-t-nuc	NADPH	NA	NA	NA	NA	Nucleic acids	Nicotinamides	Nicotinamide dinucleotides
niacinamide	metab-u-hilicpos	Niacinamide	NA	NA	NA	NA	Organoheterocyclic compounds	Pyridinecarboxylic acids	Nicotinamides
FA(18:1)	metab-u-rpneg	Oleic acid	Unsaturated FA	18	1	NA	Fatty Acyls	Fatty acids	Unsaturated FA
Ornithine	metab-t-amines	Ornithine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
FA(16:1)	metab-u-rpneg	Palmitoleic acid	Unsaturated FA	16	1	NA	Fatty Acyls	Fatty acids	Unsaturated FA
pantothenate	metab-u-hilicpos	Pantothenic acid	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
PC(30:0)	metab-u-rppos	PC 30:0	PC	30	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(32:2)	metab-u-rppos	PC 32:2	PC	32	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(34:3)	metab-u-rppos	PC 34:3	PC	34	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:2)	metab-u-rppos	PC 36:2	PC	36	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:5)_feature3	metab-u-lrppos	PC 40:5	PC	40	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:8)_feature1	metab-u-lrppos	PC 20:4/20:4	PC	40	8	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(O-32:0)_feature1	metab-u-lrppos	PC O-32:0	O-PC	32	0	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:1)_feature2	metab-u-lrppos	PC P-34:0 or PC O-34:1	O-PC	34	1	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(38:4)>PE(18:0_20:4)_feature5	metab-u-lrppos	PE 18:0_20:4	PE	38	4	PE 18:0_20:4	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(40:4)>PE(18:0_22:4)_feature2	metab-u-lrppos	PE 18:0_22:4	PE	40	4	PE 18:0_22:4	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:5)_feature4	metab-u-lrppos	PE 38:5	PE	38	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(O-36:5)>PE(O-16:1/20:4)_feature3	metab-u-lrppos	PE P-16:0/20:4 or PE O-16:1/20:4	O-PE	36	5	PE P-16:0/20:4 or PE O-16:1/20:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:5)>PE(O-16:1/22:4)_feature5	metab-u-lrppos	PE P-16:0/22:4 or PE O-16:1/22:4	O-PE	38	5	PE P-16:0/22:4 or PE O-16:1/22:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:5)>PE(O-18:1/20:4)_feature6	metab-u-lrppos	PE P-18:0/20:4 or PE O-18:1/20:4	O-PE	38	5	PE P-18:0/20:4 or PE O-18:1/20:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:6)>PE(O-18:2/20:4)_and_PE(O-16:1/22:5)_feature2	metab-u-lrppos	PE P-38:5 or PE O-38:6	O-PE	38	6	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:6)>PE(O-18:2/22:4)_feature2	metab-u-lrppos	PE P-40:5 or PE O-40:6	O-PE	40	6	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
Phenylalanine	metab-t-amines	Phenylalanine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
PI(38:4)>PI(18:0_20:4)_feature2	metab-u-lrpneg	PI 18:0_20:4	PI	38	4	PI 18:0_20:4	Glycerophospholipids	Glycerophosphoinositols	PI
Proline	metab-t-amines	Proline	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
PS(38:4)>PS(18:0_20:4)_feature2	metab-u-lrpneg	PS 18:0_20:4	PS	38	4	PS 18:0_20:4	Glycerophospholipids	Glycerophosphoserines	PS
S-allylcysteine	metab-u-rppos	S-Allylcysteine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Serine	metab-t-amines	Serine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
serotonin	metab-u-hilicpos	Serotonin	NA	NA	NA	NA	Organoheterocyclic compounds	Tryptamines	Serotonins
SM(d32:1)_feature1	metab-u-lrppos	SM 32:1;O2	SM	32	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d34:0)_feature1	metab-u-lrppos	SM 34:0;O2	SM	34	0	NA	Sphingolipids	Sphingomyelins	SM
SM(d34:1)_feature1	metab-u-lrppos	SM 34:1;O2	SM	34	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d34:2)_feature1	metab-u-lrppos	SM 34:2;O2	SM	34	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d35:1)_feature1	metab-u-lrppos	SM 35:1;O2	SM	35	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d36:1)_feature1	metab-u-lrppos	SM 36:1;O2	SM	36	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d36:2)_feature1	metab-u-lrppos	SM 36:2;O2	SM	36	2	NA	Sphingolipids	Sphingomyelins	SM
alpha-glycerophosphocholine	metab-u-hilicpos	sn-Glycero-3-phosphocholine	NA	NA	NA	NA	Organic acids	Organic phosphoric acids	Organic phosphoric acids
sphinganine	metab-u-hilicpos	Sphinganine	NA	NA	NA	NA	Sphingolipids	Sphingoid bases	Sphinganines
sphingosine	metab-u-hilicpos	Sphingosine	NA	NA	NA	NA	Sphingolipids	Sphingoid bases	Sphingosines
sphingosine-1P (C18)	metab-u-rppos	Sphingosine 1-phosphate	NA	NA	NA	NA	Sphingolipids	Sphingoid bases	Sphingoid base 1-P
Succinate	metab-t-tca	Succinic acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
Taurine	metab-t-amines	Taurine	NA	NA	NA	NA	Organic acids	Sulfonic acids	Sulfonic acids
Threonine	metab-t-amines	Threonine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Tryptophan	metab-t-amines	Tryptophan	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Tyrosine	metab-t-amines	Tyrosine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
UDP	metab-t-nuc	UDP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNDP
UMP	metab-t-nuc	UMP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNMP
urate	metab-u-rpneg	Uric acid	NA	NA	NA	NA	Nucleic acids	Purines	Xanthines
urocanate	metab-u-hilicpos	Urocanic acid	NA	NA	NA	NA	Organoheterocyclic compounds	Imidazoles	Imidazolyl carboxylic acids
UTP	metab-t-nuc	UTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNTP
Valine	metab-t-amines	Valine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
xanthine	metab-u-hilicpos	Xanthine	NA	NA	NA	NA	Nucleic acids	Purines	Xanthines
xanthosine	metab-u-hilicpos	Xanthosine	NA	NA	NA	NA	Nucleic acids	Purines	Purine ribonucleosides
CoA(2:0)	metab-t-acoa	Acetyl-CoA	Acyl CoAs	2	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
Linoleoyl-EA	metab-t-etamidpos	Linoleoyl-EA	NAE	18	2	NA	Fatty Acyls	Fatty amides	NAE
Lysine	metab-t-amines	Lysine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
1-Methylhistidine	metab-t-amines	1-Methylhistidine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Cystathionine 1	metab-t-amines	Cystathionine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Cysteine	metab-t-amines	Cysteine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Ethanolamine	metab-t-amines	Ethanolamine	NA	NA	NA	NA	Organic nitrogen compounds	Alkanolamines	1,2-aminoalcohols
Phosphoethanolamine	metab-t-amines	Phosphoethanolamine	NA	NA	NA	NA	Organic acids	Phosphate esters	Phosphoethanolamines
Sarcosine	metab-t-amines	Sarcosine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
alpha-Amino-N-butyric-acid	metab-t-amines	2-Aminobutyric acid	Amino FA	NA	NA	NA	Fatty Acyls	Fatty acids	Amino FA
alpha-Aminoadipic-acid	metab-t-amines	Aminoadipic acid	Dicarboxylic acids	NA	NA	NA	Fatty Acyls	Fatty acids	Dicarboxylic acids
CoA(10:0)	metab-t-acoa	Decanoyl-CoA	Acyl CoAs	10	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(10:1)	metab-t-acoa	Decenoyl-CoA	Acyl CoAs	10	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(10:2)	metab-t-acoa	Decadienoyl-CoA	Acyl CoAs	10	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(10:3)	metab-t-acoa	Decatrienoyl-CoA	Acyl CoAs	10	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(11:0)	metab-t-acoa	Undecanoyl-CoA	Acyl CoAs	11	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(11:1)	metab-t-acoa	Undecenoyl-CoA	Acyl CoAs	11	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(11:2)	metab-t-acoa	Undecadienoyl-CoA	Acyl CoAs	11	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(12:0)	metab-t-acoa	Lauroyl-CoA	Acyl CoAs	12	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(12:0-OH)	metab-t-acoa	Hydroxydodecanoyl-CoA	Acyl CoAs	12	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(12:1)	metab-t-acoa	Dodecenoyl-CoA	Acyl CoAs	12	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(12:2)	metab-t-acoa	Dodecadienoyl-CoA	Acyl CoAs	12	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(12:3)	metab-t-acoa	Dodecatrienoyl-CoA	Acyl CoAs	12	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(13:0)	metab-t-acoa	Tridecanoyl-CoA	Acyl CoAs	13	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(14:0)	metab-t-acoa	Myristoyl-CoA	Acyl CoAs	14	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(14:0-OH)	metab-t-acoa	Hydroxytetradecanoyl-CoA	Acyl CoAs	14	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(14:1)	metab-t-acoa	Tetradecenoyl-CoA	Acyl CoAs	14	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(14:2)	metab-t-acoa	Tetradecadienoyl-CoA	Acyl CoAs	14	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(15:0)_and_CoA(C14:1-OH)	metab-t-acoa	Pentadecanoyl-CoA/Hydroxytetradecenoyl-CoA	Acyl CoAs	NA	NA	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(15:1)	metab-t-acoa	Pentadecenoyl-CoA	Acyl CoAs	15	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(15:2)	metab-t-acoa	Pentadecadienoyl-CoA	Acyl CoAs	15	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(16:0)	metab-t-acoa	Palmitoyl-CoA	Acyl CoAs	16	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(16:1)	metab-t-acoa	Palmitoleoyl-CoA	Acyl CoAs	16	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(16:2)	metab-t-acoa	Hexadecatrienoyl-CoA	Acyl CoAs	16	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(16:3)	metab-t-acoa	Hexadecadienoyl-CoA	Acyl CoAs	16	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(17:1)	metab-t-acoa	Heptadecenoyl-CoA	Acyl CoAs	17	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(18:0)	metab-t-acoa	Stearoyl-CoA	Acyl CoAs	18	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(18:1)	metab-t-acoa	Oleoyl-CoA	Acyl CoAs	18	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(18:2)	metab-t-acoa	Linoleoyl-CoA	Acyl CoAs	18	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(18:3)	metab-t-acoa	gamma-Linolenoyl-CoA	Acyl CoAs	18	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(19:0)	metab-t-acoa	Nonadecanoyl-CoA	Acyl CoAs	19	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(19:1)	metab-t-acoa	Nonadecenoyl-CoA	Acyl CoAs	19	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(19:2)	metab-t-acoa	Nonadecadienoyl-CoA	Acyl CoAs	19	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(19:3)	metab-t-acoa	Nonadecatrienoyl-CoA	Acyl CoAs	19	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(20:0)	metab-t-acoa	Eicosanoyl-CoA	Acyl CoAs	20	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(20:1)	metab-t-acoa	Eicosenoyl-CoA	Acyl CoAs	20	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(20:2)	metab-t-acoa	Eicosadienoyl-CoA	Acyl CoAs	20	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(20:3)	metab-t-acoa	Eicosatrienoyl-CoA	Acyl CoAs	20	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(20:4)	metab-t-acoa	Arachidonyl-CoA	Acyl CoAs	20	4	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(20:5)	metab-t-acoa	Eicosapentenoyl-CoA	Acyl CoAs	20	5	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(21:0)	metab-t-acoa	Heneicosanoyl-CoA	Acyl CoAs	21	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(21:1)	metab-t-acoa	Heneicosenoyl-CoA	Acyl CoAs	21	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(21:2)	metab-t-acoa	Heneicosadienoyl-CoA	Acyl CoAs	21	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(21:3)	metab-t-acoa	Heneicosatrienoyl-CoA	Acyl CoAs	21	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(22:1)	metab-t-acoa	Docosenoyl-CoA	Acyl CoAs	22	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(22:2)	metab-t-acoa	Docosadienoyl-CoA	Acyl CoAs	22	2	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(22:3)	metab-t-acoa	Docosatrienoyl-CoA	Acyl CoAs	22	3	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(22:4)	metab-t-acoa	Docosatetraenoyl-CoA	Acyl CoAs	22	4	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(22:5)	metab-t-acoa	Docosapentaenoyl-CoA	Acyl CoAs	22	5	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(22:6)	metab-t-acoa	Docosahexaenoyl-CoA	Acyl CoAs	22	6	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(2:0-COOH)_and_CoA(4:0-OH)	metab-t-acoa	Malonyl-CoA/Hydroxybutyryl-CoA	Acyl CoAs	NA	NA	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(3:0)	metab-t-acoa	Propionyl-CoA	Acyl CoAs	3	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(3:0, 3-OH)	metab-t-acoa	3-Hydroxypropanoyl-CoA	Acyl CoAs	3	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(3:0-COOH)	metab-t-acoa	Succinyl-CoA	Acyl CoAs	3	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(4:0)	metab-t-acoa	Butyryl-CoA	Acyl CoAs	4	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(4:0-CH3)	metab-t-acoa	Isovaleryl-CoA	Acyl CoAs	4	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(4:0-COOH)	metab-t-acoa	Glutaryl-CoA	Acyl CoAs	4	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(4:1)	metab-t-acoa	Crotonoyl-CoA	Acyl CoAs	4	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(4:1-CH3)	metab-t-acoa	Isopentenoyl-CoA	Acyl CoAs	4	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(4:1-COOH)	metab-t-acoa	Itaconyl-CoA	Acyl CoAs	4	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(6:0)	metab-t-acoa	Hexanoyl-CoA	Acyl CoAs	6	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(6:1)	metab-t-acoa	Hexenoyl-CoA	Acyl CoAs	6	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(8:0)	metab-t-acoa	Octanoyl-CoA	Acyl CoAs	8	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
